EGPP 101 | Intro to Engineering, 2 
CSCI 135 Computer Science | , 4
Non Technical Elective | ,3
CSCI 211 | UNIX Lab , 1
Science Lec A 4 
Science Lab A 0 
MATH 156 | Calculus , 4
ENGW | English , 3 
ENGW | English II , 3
SLMC 101 |Principles of Speech ,3
CSCI 100 | Intro to CS ,3


CSCI 136 |Computer Science II ,3 
CSCI 354 | Computer Science , 3
CSCl 201 | Computer Organization , 3
CSCI 363 | Large Scale Prog , 3
MATH 157 | Calculus Il 4 
CSCI 202 | Computer Organization II , 3
MATH 181 | Discrete Structures , 3
Science Lec B (1) | , 4 
Science Lab B (1) | ,0 
Science Lec B (2) | , 4
Science Lab B (2) | ,0

CSCI 341 |Theory of Computation , 3 
CSCI 350 |Structure of Programming Languages , 3
CSCI401| Operating Systems , 3 
Technical Elective | , 3
CSCI470 | Fundamentals of Alg., 3 
CSCl 432 Database Systems | , 3
CSCI 450 Data Communications and Network Programming | , 3 
ENGL 009 Technical Writing | ,3
CSCI453 Intro to Cybersecurity I | , 3 
MATH 180 Intro to Linear Algebra| , 3

CSCI491| Senior Project I, 3 
Technical Elective | , 3
CSCI 375 | Software Engineering , 3 
CSCl 492 | Senior Project II , 2
CSCI 473 | Applied Data Science ,4 
Technical Elective | , 3
Technical Elective | , 3 
Non  Technical Elective |, 3
Technical Elective | ,3 
Non  Technical Elective | ,3


